StationID,EventCode,SampleYear,VesselName,GearCode,Tow Type,TrawlPreformance,HaulDate,EQ Latitude,EQ Longitude,Haulback Latitude,Haulback Longitude,AvgNetHorizontalOpening,AvgNetVerticalOpening,MWO,Notes,HaversineDistance2,Effort_area_km2
20020101001,03,2002,Seastorm,400580,S,G/S,21-Aug-02,57.7367,-161.0133,57.7672,-160.992,36.57,14.58,329.184,"Buoys on starboard side up, not showing on port side. Lots of current. Net mens showing depth 3-5.6 fathoms",3.619262652,0.1324
20020101002,03,2002,Seastorm,400580,S,G/S,21-Aug-02,57.4983,-161.01,57.5195,-160.9633,36.57,12.75,329.184,,3.652104779,0.1336
20020101003,03,2002,Seastorm,400580,S,G/S,21-Aug-02,57.2467,-161.005,57.275,-160.965,36.75,14.03,329.184,,3.960886949,0.1456
20020101004,03,2002,Seastorm,400580,S,G/S,21-Aug-02,56.9917,-161.0097,57.0103,-160.9738,40.23,13.67,329.184,,3.000705019,0.1207
20020101005,03,2002,Seastorm,400580,S,G/S,22-Aug-02,56.7533,-161.0083,56.7317,-160.9633,36.57,14.58,329.184,,3.646740938,0.1334
20020101006,03,2002,Seastorm,400580,S,G/S,22-Aug-02,56.5008,-161.0093,56.4927,-160.9515,36.57,13.67,329.184,,3.66019289,0.1339
20020101007,03,2002,Seastorm,400580,S,G/S,22-Aug-02,56.1887,-161.0187,56.1745,-160.9673,42.06,9.66,329.184,,3.551318261,0.1494
20020101008,03,2002,Seastorm,400580,S,G/S,23-Aug-02,55.9283,-162.0483,55.9115,-161.9897,42.42,11.48,329.184,,4.101398542,0.174
20020101009,03,2002,Seastorm,400580,S,G/S,23-Aug-02,56,-162.0033,55.99,-161.9433,43.89,12.75,338.328,lost codend on 505,3.893415641,0.1709
20020101010,03,2002,Seastorm,400580,S,G/S,23-Aug-02,56.2578,-162.0212,56.2392,-161.9722,42.06,11.48,338.328,too rough for Bongo,3.666246885,0.1542
20020101011,03,2002,Seastorm,400580,S,G/S,24-Aug-02,56.5083,-162.026,56.4917,-161.9713,42.06,9.11,329.184,,3.831076367,0.1611
20020101012,03,2002,Seastorm,400580,S,G/S,24-Aug-02,56.7583,-162.0122,56.7417,-161.9637,42.06,16.22,329.184,,3.485760128,0.1466
20020101013,03,2002,Seastorm,400580,S,G/S,24-Aug-02,57.0058,-162.0185,56.9873,-161.9663,40.23,13.67,338.328,,3.771913629,0.1517
20020101014,03,2002,Seastorm,400580,S,G/S,24-Aug-02,57.2283,-161.9997,57.2602,-162.0005,40.23,14.21,334.6704,,3.547450303,0.1427
20020101015,03,2002,Seastorm,400580,S,G/S,25-Aug-02,57.4838,-162.001,57.5157,-161.999,40.23,12.03,329.184,,3.549135839,0.1428
20020101016,03,2002,Seastorm,400580,S,G/S,25-Aug-02,57.733,-162.0012,57.7668,-161.9967,40.23,14.58,331.0128,,3.767867193,0.1516
20020101017,03,2002,Seastorm,400580,S,G/S,25-Aug-02,57.983,-162.001,58.0195,-161.9968,40.23,14.03,329.184,,4.066159098,0.1636
20020101018,03,2002,Seastorm,400580,S,G/S,25-Aug-02,58.2307,-162.0023,58.2607,-161.9965,42.06,13.67,334.6704,,3.35307576,0.141
20020101019,03,2002,Seastorm,400580,S,G/S,26-Aug-02,58.4833,-162.0003,58.5152,-161.997,40.23,11.84,329.184,,3.552301811,0.1429
20020101020,03,2002,Seastorm,400580,S,G/S,26-Aug-02,58.5138,-163.0157,58.4898,-162.99,43.89,15.49,329.184,,3.057963147,0.1342
20020101021,03,2002,Seastorm,400580,S,G/S,26-Aug-02,58.2678,-163.0245,58.2473,-162.9937,41.14,14.58,329.184,,2.905614523,0.1195
20020101022,03,2002,Seastorm,400580,S,G/S,26-Aug-02,58.0058,-163.0025,57.9708,-162.9867,40.96,16.22,329.184,,4.001708161,0.1639
20020101023,03,2002,Seastorm,400580,S,G/S,27-Aug-02,57.7652,-162.9977,57.7285,-163.004,42.06,16.22,329.184,,4.09794835,0.1724
20020101024,03,2002,Seastorm,400580,S,G/S,27-Aug-02,57.498,-162.9983,57.4632,-162.998,36.57,14.76,334.6704,,3.869631132,0.1415
20020101025,03,2002,Seastorm,400580,S,G/S,27-Aug-02,57.2707,-163.0022,57.2387,-162.999,40.23,15.49,329.184,Gearcode blank.  Assumed 400580.  A.D.2018,3.563444819,0.1434
20020101026,03,2002,Seastorm,400580,S,G/S,27-Aug-02,57.0187,-163.021,56.9925,-162.9882,29.26,12.75,334.6704,2 northern fur seals. Net filling up with jelly!,3.525905543,0.1032
20020101027,03,2002,Seastorm,400580,S,G/S,27-Aug-02,56.7672,-163.014,56.7358,-162.9843,36.57,13.67,338.328,,3.933097432,0.1438
20020101028,03,2002,Seastorm,400580,S,G/S,28-Aug-02,56.5015,-163.0082,56.4765,-162.9693,38.4,13.67,338.328,1 northern fur seal,3.66479091,0.1407
20020101029,03,2002,Seastorm,400580,S,G/S,28-Aug-02,56.262,-163.018,56.2378,-162.983,40.23,16.95,329.184,,3.451973669,0.1389
20020101030,03,2002,Seastorm,400580,S,G/S,28-Aug-02,56.015,-163.0242,55.993,-162.9862,40.23,13.3,338.328,lots of jelly fish,3.400899084,0.1368
20020101031,03,2002,Seastorm,400580,S,G/S,28-Aug-02,55.7717,-163.009,55.742,-162.9938,43.15,16.22,338.328,,3.436713186,0.1483
20020101032,03,2002,Seastorm,400580,S,G/S,28-Aug-02,55.5192,-162.9987,55.4868,-163.0008,42.06,15.67,338.328,,3.605147901,0.1516
20020101033,03,2002,Seastorm,400580,S,G/S,28-Aug-02,55.3625,-163.0128,55.3943,-162.9877,38.77,12.57,338.328,,3.875283408,0.1502
20020101034,03,2002,Seastorm,400580,S,G/S,29-Aug-02,55.2668,-163.9887,55.2368,-164.0095,34.02,14.4,338.328,Lots of jellyfish,3.586883048,0.122
20020101035,03,2002,Seastorm,400580,S,G/S,29-Aug-02,55.5247,-163.9732,55.4992,-164.0005,42.79,16.22,334.6704,,3.315788421,0.1419
20020101036,03,2002,Seastorm,400580,S,G/S,29-Aug-02,55.7682,-163.9948,55.7358,-164.0057,42.06,15.12,338.328,,3.666723431,0.1542
20020101037,03,2002,Seastorm,400580,S,G/S,30-Aug-02,56.0332,-163.9998,55.9828,-164.002,41.69,12.39,334.6704,,5.60590177,0.2337
20020101038,03,2002,Seastorm,400580,S,G/S,30-Aug-02,56.261,-164.0222,56.239,-163.9807,43.15,13.85,329.184,Lost the codend out of the 505. Kept the 333 this tow.,3.543595571,0.1529
20020101039,03,2002,Seastorm,400580,S,G/S,30-Aug-02,56.5148,-164.0163,56.4852,-163.9848,42.79,13.85,331.0128,,3.8171409,0.1633
20020101040,03,2002,Seastorm,400580,S,G/S,30-Aug-02,56.7673,-164.0192,56.7382,-163.987,42.06,15.85,336.4992,,3.784661842,0.1592
20020101041,03,2002,Seastorm,400580,S,G/S,31-Aug-02,57.0155,-164.013,56.984,-163.9872,40.96,15.67,334.6704,,3.835348656,0.1571
20020101042,03,2002,Seastorm,400580,S,G/S,31-Aug-02,57.2538,-164.0363,57.24,-163.98,36.57,16.22,332.8416,"Lots of jellyfish, net began to collapse",3.718335666,0.136
20020101043,03,2002,Seastorm,400580,S,G/S,31-Aug-02,57.5068,-164.0345,57.497,-163.9798,33.6,9.11,331.0128,lots of jellyfish,3.444785942,0.1157
20020101044,03,2002,Seastorm,400580,S,G/S,31-Aug-02,57.7553,-164.0285,57.7448,-163.9662,38.4,13.3,332.8416,,3.876584998,0.1489
20020101045,03,2002,Seastorm,400580,S,G/S,01-Sep-02,57.9855,-164.0005,58.0155,-164.0017,36.94,13.85,334.6704,,3.336602384,0.1233
20020101046,03,2002,Seastorm,400580,S,G/S,01-Sep-02,58.2485,-164.0252,58.2528,-163.9563,44.25,13.85,334.6704,,4.059686239,0.1796
20020101047,03,2002,Seastorm,400580,S,G/S,01-Sep-02,58.4902,-164.0293,58.5055,-163.9822,41.69,16.22,329.184,,3.222357635,0.1343
20020101048,03,2002,Seastorm,400580,S,G/S,01-Sep-02,58.7605,-164.0235,58.7417,-163.976,40.96,13.48,329.184,,3.446359997,0.1412
20020101049,03,2002,Seastorm,400580,S,G/S,01-Sep-02,59.0112,-164.0235,58.9913,-163.9757,42.06,13.85,331.0128,,3.51990407,0.148
20020101050,03,2002,Seastorm,400580,S,G/S,02-Sep-02,59.2595,-165.0165,59.2247,-164.9713,40.59,12.75,329.184,,4.645480891,0.1886
20020101051,03,2002,Seastorm,400580,S,G/S,02-Sep-02,59.0105,-165.0215,58.9892,-164.9742,44.62,13.3,329.184,,3.598270842,0.1606
20020101052,03,2002,Seastorm,400580,S,G/S,02-Sep-02,58.7593,-165.0318,58.7455,-164.9857,41.69,16.4,329.184,"Dead walrus, 58 81.43N 164 59.38W very decomposed",3.07009171,0.128
20020101053,03,2002,Seastorm,400580,S,G/S,02-Sep-02,58.5177,-165.0055,58.4868,-164.9967,41.33,14.94,332.8416,female stellar sea lion,3.473754896,0.1436
20020101054,03,2002,Seastorm,400580,S,G/S,03-Sep-02,58.2657,-165.001,58.2342,-165.0003,44.62,15.67,329.184,,3.502885209,0.1563
20020101055,03,2002,Seastorm,400580,S,G/S,03-Sep-02,57.9923,-164.9703,58.0053,-165.016,40.96,14.03,329.184,,3.056383778,0.1252
20020101056,03,2002,Seastorm,400580,S,G/S,03-Sep-02,57.7363,-164.9792,57.7633,-165.0188,35.47,17.9,329.184,lots of jellyfish,3.812435132,0.1352
20020101057,03,2002,Seastorm,400580,S,G/S,04-Sep-02,57.49,-164.989,57.5208,-165.0198,38.77,16.58,329.184,too rough for bongo and CTD,3.887732249,0.1507
20020101058,03,2002,Seastorm,400580,S,G/S,04-Sep-02,57.237,-165.0088,57.2667,-164.9872,33.65,15.12,329.184,stellar sea lion sighted at end of tow,3.548877754,0.1194
20020101059,03,2002,Seastorm,400580,S,G/S,04-Sep-02,56.9837,-165.0248,57.0055,-164.9915,42.79,16.04,329.184,,3.153449452,0.1349
20020101060,03,2002,Seastorm,400580,S,G/S,04-Sep-02,56.7398,-165.0148,56.7657,-164.9755,43.52,12.57,332.8416,,3.746227124,0.163
20020101061,03,2002,Seastorm,400580,S,G/S,05-Sep-02,56.4902,-165,56.5245,-164.9985,43.52,12.57,329.184,"gear statistics are estimated to be same as set #60, no temps taken",3.815102457,0.166
20020101062,03,2002,Seastorm,400580,S,G/S,05-Sep-02,56.2398,-165.0292,56.254,-164.9887,42.06,14.03,329.184,,2.958706505,0.1244
20020101063,03,2002,Seastorm,300,S,G/S,10-Sep-02,54.5007,-166.0395,54.5017,-165.9775,54.86,12.75,265.176,"no weather data, 3rd trial or new net",4.004848353,0.2197
20020101064,03,2002,Seastorm,300,S,G/S,11-Sep-02,54.9995,-166.029,54.9992,-165.9783,54.86,10.93,329.184,"no weather, no depth",3.233814078,0.1774
20020101065,03,2002,Seastorm,300,S,G/S,11-Sep-02,55.5025,-166.0132,55.4957,-165.9705,54.86,9.11,329.184,no weather data,2.793647982,0.1533
20020101066,03,2002,Seastorm,300,S,G/S,11-Sep-02,55.9967,-166.004,56.0245,-165.9627,58.52,13.81,329.184,"added 2 more floats, no weather data",4.018300804,0.2352
20020101067,03,2002,Seastorm,300,S,G/S,11-Sep-02,56.4855,-166.0545,56.5208,-166.0715,54.86,13.67,329.184,wind and seas building,4.06146061,0.2228
20020101068,03,2002,Seastorm,300,S,G/S,13-Sep-02,59.2597,-166.039,59.2402,-166.0163,51.2,13.67,329.184,no weather data,2.523315083,0.1292
20020101069,03,2002,Seastorm,300,S,G/S,13-Sep-02,59.01,-166.0267,58.9883,-165.9698,53.03,10.93,329.184,no weather data,4.054817977,0.215
20020101070,03,2002,Seastorm,300,S,G/S,13-Sep-02,58.7657,-166.0013,58.73,-165.998,54.86,12.03,329.184,"no weather data, lots of large Chrysaora",3.974227373,0.218
20020101071,03,2002,Seastorm,300,S,G/S,14-Sep-02,58.5108,-165.9757,58.4847,-166.03,54.86,12.75,329.184,no weather data,4.286805187,0.2352
20020101072,03,2002,Seastorm,300,S,G/S,14-Sep-02,58.2663,-165.9865,58.226,-166.035,54.86,12.75,329.184,"no weather data, large chrysaora and cyanea about 90% of catch",5.304334802,0.291
20020101073,03,2002,Seastorm,300,S,G/S,14-Sep-02,58.0045,-166.0187,57.9997,-165.9835,54.86,10.93,329.184,"2nd try at this station, aborted bongo and CTD",2.141594195,0.1175
20020101074,03,2002,Seastorm,300,S,G/S,14-Sep-02,57.509,-166.0115,57.4805,-165.967,54.86,12.75,329.184,,4.136838029,0.2269
20020101075,03,2002,Seastorm,300,S,G/S,15-Sep-02,57.01,-166.0182,56.9787,-165.9683,54.86,11.84,329.184,,4.609610328,0.2529
20020101076,03,2002,Seastorm,300,S,G/S,15-Sep-02,57.741,-167.0203,57.7613,-166.975,54.86,10.93,329.184,,3.509916996,0.1926
20020101077,03,2002,Seastorm,300,S,G/S,15-Sep-02,57.9907,-167.0197,58.0167,-166.9683,54.86,12.75,329.184,no weather data,4.18682707,0.2297
20020101078,03,2002,Seastorm,300,S,G/S,15-Sep-02,58.2442,-167.011,58.2732,-166.9533,54.86,12.75,329.184,"missing 1 set of nets and floats on retrieval, no weather data",4.668117398,0.2561
20020101079,03,2002,Seastorm,300,S,G/S,16-Sep-02,58.484,-167.0112,58.5155,-166.9887,54.86,10.93,329.184,no weather data,3.738637629,0.2051
20020101080,03,2002,Seastorm,300,S,G/S,16-Sep-02,58.7385,-166.9907,58.7695,-167.0183,54.86,12.75,329.184,no weather data,3.796888567,0.2083
20020101081,03,2002,Seastorm,300,S,G/S,16-Sep-02,58.9852,-167.0185,59.0138,-166.9823,54.86,10.93,329.184,"no weather data, large chrysaora melanaster",3.796271237,0.2083
20020101082,03,2002,Seastorm,300,S,G/S,16-Sep-02,59.2382,-167.0077,59.2718,-166.9647,54.86,12.75,329.184,"no weather data, 36 large chrysaora melanaster discarded",4.464708059,0.2449
