"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",1731.43809359754,209.755552888033,0.152159739321415
"1","2003","Stratum_1"," [count*km2/km2]",3057.60785239972,380.228212894903,0.155579398094882
"1","2004","Stratum_1"," [count*km2/km2]",1982.78207766857,215.174126496365,0.135398617338401
"1","2005","Stratum_1"," [count*km2/km2]",2382.41933112425,293.862380112957,0.156289840116995
"1","2006","Stratum_1"," [count*km2/km2]",929.050568142025,127.165641085499,0.174785117589099
"1","2007","Stratum_1"," [count*km2/km2]",1483.62963160589,176.773176694799,0.149642477537259
"1","2008","Stratum_1"," [count*km2/km2]",1224.37756136262,634.729983996441,0.722474394503644
"1","2009","Stratum_1"," [count*km2/km2]",1460.56796090757,315.634157690944,0.286665055786102
"1","2010","Stratum_1"," [count*km2/km2]",1248.59103276141,180.885115046534,0.183783478595355
"1","2011","Stratum_1"," [count*km2/km2]",1577.66056039588,275.335437419992,0.222686932594818
"1","2012","Stratum_1"," [count*km2/km2]",719.107501288271,138.135036959017,0.250610331557184
"1","2013","Stratum_1"," [count*km2/km2]",6674.55966731785,1533.27000607135,0.298892272670226
"1","2014","Stratum_1"," [count*km2/km2]",2465.10038896141,367.980690828518,0.190271482567776
"1","2015","Stratum_1"," [count*km2/km2]",3340.05845860943,630.920770418531,0.241227854007778
"1","2016","Stratum_1"," [count*km2/km2]",3356.45041272418,454.770061075932,0.170644997405052
"1","2017","Stratum_1"," [count*km2/km2]",2589.23069481595,539.019993027846,0.268496695028845
"1","2018","Stratum_1"," [count*km2/km2]",2587.29662897198,483.29691661776,0.242483627034094
"1","2019","Stratum_1"," [count*km2/km2]",2042.90656329264,397.49745913115,0.250287492412884
