"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",28764.3567003462,3860.72843353273,0.148555204159942
"1","2003","Stratum_1"," [count*km2/km2]",24794.1394225825,3347.06049645864,0.149722171966975
"1","2004","Stratum_1"," [count*km2/km2]",14790.0366446891,2157.28232061284,0.161481543650411
"1","2005","Stratum_1"," [count*km2/km2]",15096.4943562764,2608.03318832001,0.19112409059274
"1","2006","Stratum_1"," [count*km2/km2]",7696.40161795852,1737.43352040901,0.251500831817122
"1","2007","Stratum_1"," [count*km2/km2]",23263.592270396,3822.63945022911,0.181753093212539
"1","2008","Stratum_1"," [count*km2/km2]",4118.06159478137,1769.5848182911,0.475995299367706
"1","2009","Stratum_1"," [count*km2/km2]",51338.2469337978,12896.990839471,0.278426727940718
"1","2010","Stratum_1"," [count*km2/km2]",17603.8769125801,3267.55319789345,0.20576346395988
"1","2011","Stratum_1"," [count*km2/km2]",25098.9685007747,6882.69445009146,0.307294772716893
"1","2012","Stratum_1"," [count*km2/km2]",11952.3347975231,3728.37411159992,0.35151298695173
"1","2013","Stratum_1"," [count*km2/km2]",12722.6128539246,3411.3836008495,0.297134656318113
"1","2014","Stratum_1"," [count*km2/km2]",39737.7292859066,8169.36005908145,0.227800109184918
"1","2015","Stratum_1"," [count*km2/km2]",36807.4119529117,8976.68153551101,0.269869035039683
"1","2016","Stratum_1"," [count*km2/km2]",40307.0795010403,7359.43080053319,0.202249942684035
"1","2017","Stratum_1"," [count*km2/km2]",11272.643798256,2998.2587607063,0.294350830742843
"1","2018","Stratum_1"," [count*km2/km2]",95685.5767409842,18943.6956349273,0.219399402038341
"1","2019","Stratum_1"," [count*km2/km2]",75653.3182554072,15356.9787967159,0.225818410230825
