"","StationID","EventCode","SampleYear","VesselName","GearCode","Tow.Type","TrawlPreformance","HaulDate","EQ.Latitude","EQ.Longitude","Haulback.Latitude","Haulback.Longitude","AvgNetHorizontalOpening","AvgNetVerticalOpening","MWO","Notes","HaversineDistance2","Effort_area_km2"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",20020101065,3,2002,"Seastorm","300","S","G/S","11-Sep-02",55.5025,-166.0132,55.4957,-165.9705,54.86,9.11,"329.184","no weather data",2.793647982,0.1533
"120",20020101120,3,2002,"Seastorm","300","S","G/S","29-Sep-02",65.0012,-167.9582,64.9993,-168.047,54.86,12.57,"329.184","",4.17829081,0.2292
"126",20020101126,3,2002,"Seastorm","300","S","G/S","30-Sep-02",64.0002,-171.015,64.0002,-170.927,56.69,11.3,"329.184","lots of whales in area last 2 tows",4.289504592,0.2432
"134",20020101134,3,2002,"Seastorm","300","S","G/S","03-Oct-02",64.0018,-167.0343,64.0003,-166.9472,57.79,11.66,"329.184","",4.248780641,0.2455
"135",20020101135,3,2002,"Seastorm","300","S","G/S","03-Oct-02",64.0008,-166.5257,63.9988,-166.4393,57.42,10.57,"329.184","dawn",4.21744141,0.2422
"136",20020101136,3,2002,"Seastorm","300","S","G/S","03-Oct-02",64.0002,-166.0347,64.0013,-165.9605,59.98,11.11,"329.184","",3.618828855,0.2171
"147",20020101147,3,2002,"Seastorm","300","S","G/S","06-Oct-02",62.7477,-169.483,62.7207,-169.5508,55.96,11.11,"329.184","",4.576259478,0.2561
"148",20020101148,3,2002,"Seastorm","300","S","G/S","06-Oct-02",63.0008,-170.4712,62.9985,-170.5528,54.13,11.3,"329.184","",4.127272458,0.2234
"149",20020101149,3,2002,"Seastorm","300","S","G/S","06-Oct-02",63.0123,-170.9838,62.9802,-171.0268,58.52,10.93,"329.184","",4.177741157,0.2445
"151",20020101151,3,2002,"Seastorm","300","S","G/S","07-Oct-02",63.0262,-171.993,62.9905,-172.003,58.88,12.21,"329.184","",4.001616433,0.2356
"153",20020201001,3,2002,"Northwest Explorer","400601","S","G/S","08-Sep-02",53.9912,-170.0188,53.9683,-170.13,45.72,10.97,"448.056","delayed station by 1 hr to permit adequate sunlight for trawl set.",7.704400401,0.3522
"154",20020201002,3,2002,"Northwest Explorer","400601","S","G/S","09-Sep-02",NA,NA,53.13,-170.3002,45.72,10.97,"365.76","alternate bridal configuration, doors crossed, trawl reset, no weather data, Start Lat/Long was from original aborted set, not equilibrium from actual set, Do not enter lat long from datasheet, will error CPUE query.",NA,NA
"155",20020201003,3,2002,"Northwest Explorer","400601","S","G/S","09-Sep-02",52.9912,-172.519,53.034,-172.6537,51.2,16.45,"237.744","began set at 5:53 (local) alternate bridal configuration, no weather data, trawl distance seems long (10km) start stop position, time, match original datasheets, there is an additional comment about trawl start time. Start position may be doors out.",10.19086655,0.5218
"156",20020201004,3,2002,"Northwest Explorer","400601","S","G/S","10-Sep-02",53.0017,-175.0428,52.9983,-175.1817,43.89,12.8,"219.456","altered cruise track and moved station to correct for weather, used alternate bridal configuration, no weather data, trawl distance seems long (9.3km) start stop position, time, match original datasheets.",9.302716713,0.4083
"157",20020201005,3,2002,"Northwest Explorer","400601","S","G/S","10-Sep-02",52.9535,-177.54,52.8983,-177.4967,51.2,12.8,"365.76","delayed trawl until sunrise, no weather data",6.789662091,0.3476
"158",20020201006,3,2002,"Northwest Explorer","400601","S","G/S","12-Sep-02",52.0187,-177.4983,52.0283,-177.5933,45.72,12.8,"365.76","delayed trawl until sunrise, no weather data",6.587214682,0.3012
"159",20020201007,3,2002,"Northwest Explorer","400601","S","G/S","13-Sep-02",51.6683,-179.73,51.7683,-179.7183,45.72,10.97,"365.76","moved station from original position, comparative trawl with Kaiyo maru, strong current, no weather data, trawl distance seems long (11.1km) start stop position, time, matches original datasheets.",11.14868319,0.5097
"160",20020201008,3,2002,"Northwest Explorer","400601","S","G/S","13-Sep-02",52.5212,-177.4692,52.575,-177.55,47.54,16.45,"338.328","moved station from original coordinates, comparative trawl with Kaiyo maru, no weather data",8.10168887,0.3852
"161",20020201009,3,2002,"Northwest Explorer","400601","S","G/S","14-Sep-02",53.0175,-177.501,53.0233,-177.6067,45.72,14.63,"393.192","comparative trawl with Kaiyo maru, no weather data",7.099337402,0.3246
